timestamp,pos_error_m,heading_error_deg,velocity_error_mps,time_diff_s
1662794131.000714,0.058540,0.296629,0.005457,0.000000
1662794131.324836,0.058540,0.296629,0.046751,0.000000
1662794131.688424,0.086227,0.549314,0.049536,0.040344
1662794131.973150,0.029053,0.197751,0.011739,0.000000
1662794132.276653,0.072633,0.351559,0.035239,0.000000
1662794132.624856,0.093493,0.538327,0.010895,0.040370
1662794132.927692,0.021797,0.186764,0.000686,0.000000
1662794133.211010,0.122796,0.812985,0.015227,0.040431
1662794133.480385,0.065390,0.395504,0.026686,0.000000
1662794133.788962,0.030252,0.208737,0.024974,0.000000
1662794134.071956,0.126424,0.780026,0.028432,0.040361
1662794134.364982,0.075872,0.329587,0.005708,0.000000
1662794134.693210,0.028146,0.142820,0.004099,0.000000
1662794134.981175,0.103797,0.263670,0.016263,0.000000
1662794135.305779,0.037528,0.054931,0.012116,0.000000
1662794135.631812,0.000000,0.000000,0.000000,0.000000
1662794135.922746,0.065675,0.032959,0.012318,0.000000
1662794136.270291,0.000000,0.000000,0.000000,0.000000
1662794136.532898,0.075057,0.010986,0.009264,0.000000
1662794136.837069,0.065675,0.000000,0.002903,0.000000
1662794137.121696,0.065675,0.010986,0.037056,0.000000
1662794137.409428,0.075057,0.021973,0.036877,0.000000
1662794137.692605,0.075057,0.000000,0.024433,0.000000
1662794137.984845,0.037528,0.000000,0.015435,0.000000
1662794138.249735,0.103203,0.032959,0.003281,0.000000
1662794138.537783,0.039133,0.010986,0.027265,0.000000
1662794138.823449,0.140732,0.000000,0.006114,0.040335
1662794139.072350,0.103203,0.010986,0.030658,0.000000
1662794139.380661,0.065675,0.043945,0.015350,0.000000
1662794139.683819,0.140732,0.054931,0.027782,0.040361
1662794139.975085,0.065675,0.032959,0.042957,0.000000
1662794140.318416,0.037528,0.010986,0.003082,0.000000
1662794140.622603,0.065675,0.021972,0.018372,0.000000
1662794140.956698,0.084439,0.010986,0.015198,0.000000
1662794141.325248,0.075057,0.021973,0.006243,0.000000
1662794141.738627,0.018764,0.010986,0.021066,0.000000
1662794142.266360,0.000000,0.000000,0.000000,0.000000
1662794142.781082,0.018764,0.000000,0.042584,0.024383
1662794143.287382,0.009382,0.000000,0.030369,0.040519
1662794143.825597,0.000000,0.000000,0.009597,0.040402
1662794144.337038,0.009382,0.000000,0.005965,0.040363
1662794144.873251,0.000000,0.000000,0.002591,0.049332
1662794145.385404,0.009382,0.000000,0.008124,0.040250
1662794145.894614,0.000000,0.000000,0.000000,0.000000
1662794146.403152,0.000000,0.000000,0.000000,0.000000
